"MUSIC","TOTAL1","COUNTS","BOOK_CD","CHAPTER_CD","VERSE_CD","SEQ_NO","NOTES","SYLL_VERSE"
"e f e g# B ^A pas,e z-q,d f g# f e ",1,1,"GENESIS","010","009",1,"e f e g B ^A e d f g f e ",27
"e qad,C pas,z-q,g# B ^A g# e ",2,1,"GENESIS","010","010",1,"e C g B ^A g e ",23
"e f g# B ^A pas,pas,B z-q,f g# e ",2,1,"GENESIS","010","011",1,"e f g B ^A B f g e ",26
"e z-q,f e g# B ^A g# f e ",1,1,"GENESIS","010","012",1,"e f e g B ^A g f e ",17
"e paz,tar,c d g# e ",2,1,"GENESIS","010","013",1,"e c d g e ",24
"e tar,rev,qad,f d g# e ",2,1,"GENESIS","010","014",1,"e f d g e ",24
"e rev,d f g# e ",5,1,"GENESIS","010","015",1,"e d f g e ",14
"e pas,B z-q,g# e ",26,1,"GENESIS","010","016",1,"e B g e ",17
"e f g# e ",150,5,"GENESIS","010","017",1,"e f g e ",15
"e f g# ^A B z-q,g# e ",24,4,"GENESIS","010","018",1,"e f g ^A B g e ",30
"e tar,C e pas,z-q,f g# ^A tar,c d f g# e ",1,1,"GENESIS","010","019",1,"e C e f g ^A c d f g e ",37
"B z-q,g# ^A g# e ",4,2,"GENESIS","010","020",1,"B g ^A g e ",22
"e f g# ^A pas,z-q,g# f e ",5,1,"GENESIS","010","021",1,"e f g ^A g f e ",20
"e f g# B ^A g# f e ",48,6,"GENESIS","010","022",1,"e f g B ^A g f e ",17
"e g# ^A f g# f e ",36,5,"GENESIS","010","023",1,"e g ^A f g f e ",12
"e g# B ^A g# f e ",43,4,"GENESIS","010","024",1,"e g B ^A g f e ",17
"e f g# B ^A B tar,rev,C pas,B z-q,f g# e ",2,1,"GENESIS","010","025",1,"e f g B ^A B C B f g e ",31
"e B z-q,g# ^A g# e ",25,3,"GENESIS","010","026",1,"e B g ^A g e ",23
"e f e g# e ",6,1,"GENESIS","010","028",1,"e f e g e ",14
"e f g# ^A g# f e ",74,10,"GENESIS","010","029",1,"e f g ^A g f e ",20
"B z-q,g# ^A g# e ",4,2,"GENESIS","010","031",1,"B g ^A g e ",22
